Size	Time		Avg OB	Max OB	Min OB
100	41.900000	4950.00	4950		4950
200	155.300000	19900.00	19900		19900
300	315.600000	44850.00	44850		44850
400	485.000000	79800.00	79800		79800
500	1237.900000	124750.00	124750	124750
600	1632.800000	179700.00	179700	179700
700	1399.000000	244650.00	244650	244650
800	1381.700000	319600.00	319600	319600
900	1549.000000	404550.00	404550	404550
1000	1763.000000	499500.00	499500	499500
1100	3686.900000	604450.00	604450	604450
1200	5934.700000	719400.00	719400	719400
1300	5260.100000	844350.00	844350	844350
1400	4175.700000	979300.00	979300	979300
1500	4681.700000	1124250.00	1124250	1124250
1600	4919.000000	1279200.00	1279200	1279200
1700	7072.000000	1444150.00	1444150	1444150
1800	7040.500000	1619100.00	1619100	1619100
1900	6773.900000	1804050.00	1804050	1804050
2000	7530.600000	1999000.00	1999000	1999000
