Size	Time		Avg OB	Max OB	Min OB
100	33.900000	4887.00	4949		4719
200	117.900000	19630.00	19890		19270
300	249.000000	44612.00	44814		44220
400	433.900000	79457.00	79755		78854
500	861.800000	124300.00	124705	123265
600	1338.500000	178748.00	179694	177215
700	2280.500000	244283.00	244649	242880
800	1873.200000	319034.00	319585	318004
900	1363.400000	403266.00	404514	401469
1000	1673.600000	498487.00	499500	497085
1100	2188.700000	603386.00	604330	602497
1200	4221.400000	717379.00	719372	712497
1300	6147.400000	843081.00	844259	840695
1400	7477.800000	977454.00	979245	969147
1500	7055.000000	1122433.00	1124244	1118255
1600	4281.600000	1277056.00	1279179	1270815
1700	8604.500000	1442586.00	1444014	1439685
1800	6868.000000	1616621.00	1618929	1613429
1900	6775.000000	1802656.00	1803840	1800134
2000	6586.200000	1997667.00	1998964	1991374
