Size	Average Time	Avg OB	Min OB	Max OB
10	0.000610	68.00	68	68
110	0.009287	1504.00	1504	1504
210	0.017852	3268.00	3268	3268
310	0.029099	5176.00	5176	5176
410	0.038342	7176.00	7176	7176
510	0.051770	9176.00	9176	9176
610	0.062930	11372.00	11372	11372
710	0.071707	13572.00	13572	13572
810	0.082749	15772.00	15772	15772
910	0.092566	17972.00	17972	17972
1010	0.103093	20172.00	20172	20172
1110	0.118030	22544.00	22544	22544
1210	0.127449	24944.00	24944	24944
1310	0.142378	27344.00	27344	27344
1410	0.151082	29744.00	29744	29744
1510	0.162776	32144.00	32144	32144
1610	0.174014	34544.00	34544	34544
1710	0.186238	36944.00	36944	36944
1810	0.194900	39344.00	39344	39344
1910	0.208018	41744.00	41744	41744
2010	0.220259	44144.00	44144	44144
2110	0.252544	46668.00	46668	46668
2210	0.249814	49268.00	49268	49268
2310	0.256577	51868.00	51868	51868
2410	0.277512	54468.00	54468	54468
2510	0.283879	57068.00	57068	57068
2610	0.295964	59668.00	59668	59668
2710	0.309968	62268.00	62268	62268
2810	0.328650	64868.00	64868	64868
2910	0.340923	67468.00	67468	67468
3010	0.349590	70068.00	70068	70068
3110	0.385400	72668.00	72668	72668
3210	0.392932	75268.00	75268	75268
3310	0.401055	77868.00	77868	77868
3410	0.419700	80468.00	80468	80468
3510	0.427329	83068.00	83068	83068
3610	0.439934	85668.00	85668	85668
3710	0.454260	88268.00	88268	88268
3810	0.468538	90868.00	90868	90868
3910	0.487012	93468.00	93468	93468
4010	0.496611	96068.00	96068	96068
4110	0.485864	98696.00	98696	98696
4210	0.505212	101496.00	101496	101496
4310	0.520615	104296.00	104296	104296
4410	0.533472	107096.00	107096	107096
4510	0.547207	109896.00	109896	109896
4610	0.552849	112696.00	112696	112696
4710	0.563457	115496.00	115496	115496
4810	0.589690	118296.00	118296	118296
4910	0.604817	121096.00	121096	121096
5010	0.613796	123896.00	123896	123896
5110	0.629692	126696.00	126696	126696
5210	0.639561	129496.00	129496	129496
5310	0.649583	132296.00	132296	132296
5410	0.664197	135096.00	135096	135096
5510	0.686655	137896.00	137896	137896
5610	0.689565	140696.00	140696	140696
5710	0.707168	143496.00	143496	143496
5810	0.729927	146296.00	146296	146296
5910	0.732080	149096.00	149096	149096
6010	0.743064	151896.00	151896	151896
6110	0.763889	154696.00	154696	154696
6210	0.772642	157496.00	157496	157496
6310	0.786516	160296.00	160296	160296
6410	0.811348	163096.00	163096	163096
6510	0.808572	165896.00	165896	165896
6610	0.822554	168696.00	168696	168696
6710	0.829238	171496.00	171496	171496
6810	0.843516	174296.00	174296	174296
6910	0.865793	177096.00	177096	177096
7010	0.872720	179896.00	179896	179896
7110	0.881782	182696.00	182696	182696
7210	0.897102	185496.00	185496	185496
7310	0.912515	188296.00	188296	188296
7410	0.935625	191096.00	191096	191096
7510	0.941309	193896.00	193896	193896
7610	0.959565	196696.00	196696	196696
7710	0.972200	199496.00	199496	199496
7810	0.982617	202296.00	202296	202296
7910	0.991431	205096.00	205096	205096
8010	1.005608	207896.00	207896	207896
8110	1.025967	210696.00	210696	210696
8210	1.051606	213532.00	213532	213532
8310	1.059255	216532.00	216532	216532
8410	1.059875	219532.00	219532	219532
8510	1.104619	222532.00	222532	222532
8610	1.100681	225532.00	225532	225532
8710	1.119451	228532.00	228532	228532
8810	1.120715	231532.00	231532	231532
8910	1.151074	234532.00	234532	234532
9010	1.161157	237532.00	237532	237532
9110	1.176062	240532.00	240532	240532
9210	1.175427	243532.00	243532	243532
9310	1.225232	246532.00	246532	246532
9410	1.226523	249532.00	249532	249532
9510	1.292512	252532.00	252532	252532
9610	1.273613	255532.00	255532	255532
9710	1.273069	258532.00	258532	258532
9810	1.314478	261532.00	261532	261532
9910	1.304763	264532.00	264532	264532
