Size	Average Time	Avg OB	Min OB	Max OB
10	0.000459	90.22	79	100
110	0.010261	2084.87	2048	2129
210	0.027742	4558.47	4446	4650
310	0.048970	7242.13	7150	7366
410	0.064551	10080.77	9953	10160
510	0.065588	12973.11	12843	13110
610	0.079023	16025.62	15880	16180
710	0.087651	19155.35	18989	19289
810	0.136582	22285.95	22128	22467
910	0.123853	25481.41	25249	25654
1010	0.150203	28685.96	28526	28871
1110	0.151118	32002.74	31830	32187
1210	0.183086	35383.51	35182	35551
1310	0.176426	38782.37	38495	38972
1410	0.191013	42199.56	42018	42447
1510	0.212583	45631.06	45439	45919
1610	0.220801	49105.01	48890	49313
1710	0.235125	52575.90	52326	52809
1810	0.251504	56060.56	55792	56242
1910	0.277710	59571.08	59372	59747
2010	0.408699	63046.11	62853	63312
2110	0.367690	66656.83	66400	66997
2210	0.334524	70298.63	70007	70550
2310	0.306843	73948.77	73611	74274
2410	0.363047	77641.00	77386	77878
2510	0.412070	81333.20	81047	81602
2610	0.389358	85050.42	84750	85341
2710	0.406609	88753.42	88411	89125
2810	0.418384	92515.25	92309	92807
2910	0.414460	96223.83	95949	96477
3010	0.427725	99967.39	99694	100285
3110	0.435315	103718.78	103379	104027
3210	0.446914	107496.51	107178	107811
3310	0.463975	111272.98	110962	111574
3410	0.512542	115027.37	114710	115346
3510	0.512368	118826.04	118536	119214
3610	0.536084	122606.23	122326	123175
3710	0.566489	126409.10	126026	126788
3810	0.534087	130192.44	129855	130524
3910	0.562380	133996.15	133732	134338
4010	0.564692	137799.29	137372	138095
4110	0.596819	141615.87	141288	141996
4210	0.609919	145569.73	145207	145975
4310	0.598691	149469.62	149027	149888
4410	0.615552	153432.87	153042	153813
4510	0.634282	157394.80	157042	157765
4610	0.661799	161363.09	160907	161738
4710	0.676421	165334.86	165012	165756
4810	0.706169	169311.79	168988	169738
4910	0.712388	173264.54	172877	173639
5010	0.718782	177295.80	176910	177804
5110	0.749783	181322.62	180859	181672
5210	0.782224	185312.30	184919	185735
5310	1.091760	189330.87	189021	189720
5410	0.804080	193351.51	192826	193840
5510	0.806343	197394.26	196847	197855
5610	0.802566	201399.06	200925	201786
5710	0.841663	205510.42	205123	205969
5810	0.853835	209474.99	209132	209972
5910	0.886650	213553.41	213237	213900
6010	0.882676	217603.81	217231	218002
6110	0.903306	221653.40	221213	222233
6210	0.903242	225702.30	225297	226191
6310	0.909692	229785.88	229264	230272
6410	0.948293	233848.25	233345	234470
6510	0.957627	237910.11	237345	238569
6610	0.991099	241993.45	241504	242440
6710	0.998687	246054.35	245690	246488
6810	0.996775	250129.41	249630	250548
6910	1.046423	254201.20	253732	254686
7010	1.055781	258273.11	257666	258737
7110	1.061494	262348.02	261669	262836
7210	1.080471	266471.20	266002	266977
7310	1.091379	270540.68	269951	271004
7410	1.101147	274660.32	274044	275199
7510	1.136553	278742.25	278341	279283
7610	1.129568	282858.83	282125	283250
7710	1.146152	286906.08	286434	287469
7810	1.174795	291028.93	290530	291538
7910	1.197051	295131.29	294626	295802
8010	1.205869	299274.66	298836	299751
8110	1.213691	303324.52	302866	303751
8210	1.249880	307520.30	307040	308030
8310	1.431189	311713.56	311298	312246
8410	1.371167	316002.76	315574	316612
8510	1.298752	320178.26	319730	320672
8610	1.448997	324406.62	323955	324840
8710	1.625786	328673.80	328267	329452
8810	1.442036	332912.87	332465	333404
8910	1.346389	337121.34	336609	337632
9010	1.378474	341406.25	340930	341830
9110	1.375645	345697.16	344951	346235
9210	1.433115	349913.31	349350	350577
9310	1.418918	354200.44	353752	354604
9410	1.437617	358551.83	357887	359093
9510	1.464753	362758.05	362178	363348
9610	1.473691	367069.87	366640	367537
9710	1.544517	371399.66	370784	371873
9810	1.546772	375672.93	374904	376242
9910	1.537649	379999.93	379393	380548
