Size;Time	;Avg OB;Max OB	;Min OB
100;0.02;4864.00;4922;4760
200;0.07;19765.00;19894;19647
300;0.15;44434.00;44840;43674
400;0.24;79621.00;79779;79422
500;0.45;124511.00;124744;124009
600;0.52;179513.00;179655;179294
700;0.68;243384.00;244020;242759
800;0.92;318311.00;319585;316597
900;1.47;403618.00;404319;402897
1000;1.39;499193.00;499479;499004
1100;1.72;603238.00;604330;600709
1200;1.97;718307.00;719169;715395
1300;2.37;842638.00;844322;838890
1400;2.87;977793.00;978670;975897
1500;3.03;1123002.00;1124229;1121400
1600;3.47;1278233.00;1278534;1278024
1700;3.84;1440476.00;1443685;1437010
1800;4.42;1615994.00;1617825;1613429
1900;4.90;1802702.00;1803672;1801565
2000;5.26;1997696.00;1998622;1995597
2100;5.94;2202219.00;2203797;2198697
2200;6.41;2415705.00;2418549;2410515
2300;7.02;2640800.00;2643597;2637064
2400;7.62;2875393.00;2876655;2870544
2500;8.37;3119284.00;3123425;3113739
2600;9.24;3376817.00;3378529;3374695
2700;9.81;3640447.00;3642660;3635265
2800;11.25;3915519.00;3918572;3908730
2900;11.16;4200476.00;4202119;4197772
3000;12.12;4494611.00;4497720;4488770
3100;12.91;4802063.00;4803314;4801035
3200;14.61;5116652.00;5117365;5115079
3300;14.39;5441246.00;5443230;5439164
3400;15.48;5773468.00;5775672;5770797
3500;16.58;6118862.00;6121710;6117364
3600;17.31;6477401.00;6477765;6477072
3700;18.44;6841300.00;6842997;6837690
3800;20.05;7214684.00;7216330;7211314
3900;19.88;7597874.00;7602914;7593734
4000;20.92;7992781.00;7997054;7988820
4100;23.64;8400356.00;8402170;8397279
4200;24.49;8814795.00;8817197;8810640
4300;24.38;9242079.00;9242759;9241419
4400;25.47;9675582.00;9676810;9672547
4500;28.68;10116242.00;10122450;10107174
4600;29.16;10573132.00;10575555;10570440
4700;29.06;11038489.00;11040820;11035629
4800;30.79;11513125.00;11516169;11508420
4900;31.26;11993899.00;12000534;11977125
5000;32.89;12493984.00;12497004;12488985
5100;36.26;12998843.00;13001369;12994322
5200;38.12;13516329.00;13517280;13515054
5300;39.90;14029897.00;14041315;14019559
5400;41.06;14572800.00;14576480;14569425
5500;42.02;15114471.00;15122079;15104672
5600;43.35;15670558.00;15676990;15655464
5700;44.33;16235267.00;16242122;16218060
5800;45.47;16814510.00;16817064;16807370
5900;45.48;17399772.00;17401897;17393665
6000;49.90;17989191.00;17996439;17982804
6100;48.73;18591656.00;18601389;18568539
6200;50.72;19213155.00;19216600;19211122
6300;52.28;19834243.00;19839365;19826274
6400;56.47;20471546.00;20475719;20466789
6500;58.29;21115104.00;21121399;21106174
6600;61.89;21770579.00;21774144;21760769
6700;60.32;22432821.00;22441460;22410275
6800;64.79;23109508.00;23114389;23100490
6900;64.41;23793203.00;23799839;23780022
7000;65.02;24491696.00;24496175;24488997
7100;66.11;25195055.00;25196794;25191154
7200;75.57;25908304.00;25915454;25896500
7300;74.17;26638162.00;26640222;26636885
7400;81.54;27368588.00;27376110;27359095
7500;76.95;28110610.00;28119765;28094454
7600;80.50;28867581.00;28876122;28862505
7700;97.70;29633486.00;29640520;29623005
7800;100.60;30406844.00;30413685;30396990
7900;100.79;31194878.00;31200774;31191320
8000;98.71;31990715.00;31994824;31985415
8100;101.37;32795767.00;32798739;32793324
8200;96.22;33608186.00;33615120;33599610
8300;98.81;34434739.00;34439904;34424379
8400;96.84;35269213.00;35273589;35262759
8500;108.78;36117897.00;36120540;36113964
8600;104.13;36973004.00;36974619;36971235
8700;109.42;37833705.00;37837410;37828404
8800;115.57;38704832.00;38714897;38689265
8900;110.06;39595213.00;39600022;39588304
9000;112.12;40481687.00;40493904;40456997
9100;112.20;41388217.00;41398172;41371770
9200;122.14;42302865.00;42309072;42291747
9300;115.85;43230405.00;43239125;43212855
9400;120.37;44167265.00;44171384;44161934
9500;125.22;45111680.00;45116929;45101529
9600;127.00;46067041.00;46074990;46045065
9700;129.53;47028592.00;47038439;47005959
9800;140.10;48005861.00;48015100;47988765
9900;134.94;48992731.00;48998220;48985854
10000;140.85;49989918.00;49993674;49984847
